,Show Number,Date,Location,Corps,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Visual Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Competition Latitude,Competition Longitude,General Effect 1 1,General Effect 1 2,General Effect 2 1,General Effect 2 2,Music Analysis 1,Music Analysis 2,Days from Season Start
56,2.0,1 days 00:00:00,"San Bernardino, California",Impulse,1.0,1.4000000000000004,0.5,1.8999999999999986,0.29999999999999893,-0.20000000000000107,0.40000000000000036,0.25,-0.29999999999999893,0.3000000000000007,-0.10000000000000142,-0.05000000000000071,2.1000000000000014,0.0,2.1000000000000014,1.116713599999997,1.7092951999999997,,,,,,,1.0
57,2.0,1 days 00:00:00,"San Bernardino, California",Vessel,-1.0,0.6999999999999993,0.3999999999999986,1.1000000000000014,0.40000000000000036,0.09999999999999964,0.09999999999999964,0.29999999999999893,-0.3000000000000007,-0.29999999999999893,-0.09999999999999964,-0.34999999999999964,1.0499999999999972,0.0,1.0499999999999972,1.116713599999997,1.7092951999999997,,,,,,,1.0
58,2.0,1 days 00:00:00,"San Bernardino, California",Blue Devils C,0.0,0.40000000000000036,0.09999999999999964,0.5,0.1999999999999993,0.20000000000000107,0.1999999999999993,0.3000000000000007,0.09999999999999964,0.0,0.09999999999999964,0.09999999999999964,0.9000000000000057,0.0,0.9000000000000057,1.116713599999997,1.7092951999999997,,,,,,,1.0
59,,,"Mason, OH",Bluecoats,,,,,,,,,,,,,,,,,,,,,,,,
60,1.0,1 days 00:00:00,"Mason, OH",Boston Crusaders,-1.5,0.2500000000000009,0.1999999999999993,0.45000000000000107,0.20000000000000018,0.09999999999999964,0.10000000000000053,0.1999999999999993,0.35000000000000053,0.20000000000000018,0.0,0.27500000000000036,0.9250000000000043,0.0,0.9250000000000043,-1.2205501999999981,1.8824148500000035,,,,,,,1.0
61,1.0,1 days 00:00:00,"Mason, OH",Carolina Crown,-1.5,-0.04999999999999982,-0.04999999999999982,-0.09999999999999964,0.0,0.14999999999999947,0.15000000000000036,0.15000000000000036,0.40000000000000036,0.3000000000000007,0.04999999999999982,0.375,0.42500000000000426,0.0,0.42500000000000426,-1.2205501999999981,1.8824148500000035,,,,,,,1.0
62,1.0,1 days 00:00:00,"Mason, OH",Phantom Regiment,-1.5,0.2999999999999998,0.15000000000000036,0.45000000000000107,0.09999999999999964,0.09999999999999964,0.2999999999999998,0.25,0.15000000000000036,0.25,0.0,0.1999999999999993,0.8999999999999986,0.0,0.8999999999999986,-1.2205501999999981,1.8824148500000035,,,,,,,1.0
63,,,"Mason, OH",Cincinnati Tradition,,,,,,,,,,,,,,,,,,,,,,,,
64,1.0,1 days 00:00:00,"Cedarburg, Wisconsin",The Cavaliers,-1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.6333333333333334,0.20000000000000048,0.4166666666666667,0.19999999999999987,0.19999999999999987,0.2333333333333331,0.3166666666666676,1.0833333333333333,0.0,1.0666666666666675,0.49849850000000134,0.029077966666667027,,,,,,,1.0
65,1.0,1 days 00:00:00,"Cedarburg, Wisconsin",Blue Stars,0.0,0.13333333333333344,0.06666666666666703,0.1999999999999993,0.3000000000000001,0.36666666666666653,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.2666666666666669,0.13333333333333344,0.36666666666666714,0.9833333333333295,0.0,0.9833333333333295,0.49849850000000134,0.029077966666667027,,,,,,,1.0
